第一階層カテゴリ,第二階層カテゴリ,出力モードタグ,訴求軸キーワード
家電・IoT・デジタル,生活家電,gadget,機能性、省エネ、操作性、デザイン性
家電・IoT・デジタル,キッチン家電,gadget,効率、衛生、省エネ、コンパクト
家電・IoT・デジタル,美容家電,gadget,効果、時短、安全性、デザイン性
家電・IoT・デジタル,AV・音響機器,gadget,音質、映像美、拡張性、臨場感
家電・IoT・デジタル,スマートデバイス,gadget,多機能、連携、操作性、省エネ
家電・IoT・デジタル,調理家電,gadget,時短、健康、安全性、清掃性
キッチン・日用品,調理器具,lifestyle,使いやすさ、清潔、収納、時短
キッチン・日用品,保存容器,lifestyle,密閉、清潔、省スペース、耐久性
キッチン・日用品,食器・カトラリー,lifestyle,デザイン性、手触り、収納、衛生
キッチン・日用品,バス・衛生用品,lifestyle,衛生、抗菌、省スペース、防臭
キッチン・日用品,清掃・ランドリー,lifestyle,清潔、効率、耐久性、省エネ
キッチン・日用品,収納・オーガナイザー,lifestyle,整理、拡張、省スペース、価格
キッチン・日用品,インテリア雑貨,lifestyle,デザイン性、快適、トレンド、実用性
ファッション,レディースウェア,fashion,着心地、素材感、デザイン性、トレンド
ファッション,メンズウェア,fashion,着心地、耐久性、デザイン、コスパ
ファッション,バッグ・小物,fashion,収納力、素材感、デザイン性、携帯性
ファッション,シューズ,fashion,履き心地、軽量、デザイン、通気性
ファッション,アクセサリー,fashion,見た目、品質、耐久性、流行
ファッション,ファッション雑貨,fashion,デザイン性、季節感、コスパ、実用性
ファッション,スポーツ・アウトドアウェア,fashion,通気性、機能性、動きやすさ、トレンド
美容・ヘルスケア,スキンケア,beauty,保湿、浸透力、成分、安心
美容・ヘルスケア,メイクアップ,beauty,色持ち、使いやすさ、落ちにくさ、コスパ
美容・ヘルスケア,ヘアケア,beauty,ダメージケア、香り、指通り、コスパ
美容・ヘルスケア,ボディケア,beauty,保湿、癒し、香り、使用感
美容・ヘルスケア,健康食品・サプリ,beauty/food,健康、成分、飲みやすさ、毎日
キッズ・ベビー,ベビー服・肌着,kids,安全性、素材感、ギフト、快適
キッズ・ベビー,キッズウェア,kids,成長対応、動きやすさ、デザイン性
キッズ・ベビー,知育・玩具,kids/entertainment,知育、安全性、楽しさ、耐久性
キッズ・ベビー,ベビーカー・抱っこひも,kids,安全性、携帯性、動きやすさ
キッズ・ベビー,マタニティ,kids/lifestyle,快適、安全性、成長、価格
ペット,ペットフード,food,栄養、安全性、価格、高嗜好性
ペット,ケア・衛生,lifestyle,清潔、抗菌、利便性、安全性
ペット,ベッド・ケージ,lifestyle,快適、安全性、デザイン性、手入れ
ペット,おもちゃ・しつけ,entertainment,耐久性、知育、安全性、遊び
DIY・カー,DIY・工具,gadget/lifestyle,使いやすさ、精度、耐久性
DIY・カー,カー・バイク用品,gadget/lifestyle,快適性、安全性、デザイン性、収納力
DIY・カー,オフィス・文具,lifestyle,書きやすさ、コスパ、整理、機能性
DIY・カー,防災・防犯,lifestyle,安全性、省スペース、利便性、安心感
ホビー・エンタメ,玩具・ホビー,entertainment,体験、没入感、人気、安全
ホビー・エンタメ,クラフト・模型,entertainment,創作、品質、こだわり、表現
ホビー・エンタメ,音楽・映像・書籍,entertainment,感動、質感、収集、体験
ホビー・エンタメ,ゲーム・AR,entertainment,臨場感、拡張性、新規性、話題
ホビー・エンタメ,イベント・推し活,gift/entertainment,特別感、シェア、話題、交流
ギフト,パーソナルギフト,gift,名入れ、特別感、サプライズ、包装
ギフト,法人・ビジネスギフト,gift,実用性、品格、信頼、特別感
ギフト,シーン別ギフト,gift,季節感、冠婚、用途、特別感
ギフト,フード・スイーツギフト,food/gift,味、見た目、包装、感謝
ギフト,体験・デジタルギフト,entertainment/gift,新鮮さ、体験、シェア、話題
ギフト,インテリアギフト,lifestyle/gift,デザイン、快適、感謝、特別感
ギフト,ビューティギフト,beauty/gift,癒し、贅沢、見た目、気持ち
食品・飲料,スイーツ・菓子,food,味、見た目、健康、贈答
食品・飲料,惣菜・冷凍・レトルト,food,時短、健康、価格、保存性
食品・飲料,健康食品,food,成分、ヘルシー、飲みやすさ
食品・飲料,飲料,food,味、香り、産地、ギフト
食品・飲料,特産・ふるさとグルメ,food,希少性、旬、地域性、贈答
