l1,l2,mode,pitch_keywords,nonverbal_profile,evidence_urls,banned_claims,notes
ファッション,ステンカラーコート,B,"コットン, ポリエステル, 裏地付き, シングルブレスト, 前立て比翼, 着丈90cm, 撥水, 春秋向け, 都会的, 滑らか",preset:fashion.coat,https://www.amazon.co.jp/dp/B07X9VXYCN;https://item.rakuten.co.jp/auc-petitpas/stencil-0001/,,主要ECに同仕様複数掲載
ファッション,チェスターコート（ウール）,B,"ウール, シングルブレスト, ノッチドラペル, 総裏, 前ポケット, 着丈100cm, 秋冬定番, 重厚感, 直線的シルエット",preset:fashion.coat,https://www.amazon.co.jp/dp/B07Y9HWXKQ;https://item.rakuten.co.jp/auc-honatei/10000048/,,主要ECでウール素材複数掲載
ファッション,チェスターコート（カシミヤ）,B,"カシミヤ, 比翼仕立て, 総裏, ノッチドラペル, 着丈95cm, 高級感, なめらか, 秋冬, 保温",preset:fashion.coat,https://www.amazon.co.jp/dp/B07ZVJFMGV;https://item.rakuten.co.jp/auc-petitpas/cashmere001/,,ECにカシミヤ素材実売品確認
ファッション,トレンチコート（春夏）,B,"綿混紡, 裏地なし, ダブルブレスト, ベルト付き, ラグラン袖, 着丈110cm, 通気性, 春夏, クラシック",preset:fashion.coat,https://www.amazon.co.jp/dp/B00JG4UGEK;https://item.rakuten.co.jp/smilemart/trench_spring/,,春夏仕様コートの定番
ファッション,トレンチコート（ポリエステル）,B,"ポリエステル, 防水加工, 裏地付き, ダブルブレスト, ベルト付き, 着丈115cm, 防風, 秋冬, 都会的",preset:fashion.coat,https://www.amazon.co.jp/dp/B08T5HPG8S;https://item.rakuten.co.jp/poly-trench/trench01/,,防水/秋冬仕様多数
ファッション,ダッフルコート,B,"ウール混紡, トグル釦, フード付き, 総裏, ローウエスト, 着丈90cm, 英国調, 暖か, 質実剛健",preset:fashion.coat,https://www.amazon.co.jp/dp/B07XN6NW7X;https://item.rakuten.co.jp/loop-shoes/c21/,,類似仕様多数
ファッション,ピーコート,B,"ウール混紡, アンカー釦, ダブルブレスト, ラペルカラー, サイドポケット, 着丈75cm, 防寒, 無骨, 冬定番",preset:fashion.coat,https://www.amazon.co.jp/dp/B07T7Q5FWK;https://item.rakuten.co.jp/sorezore/c-3629/,,仕様互換製品あり
ファッション,ウールジャケット,B,"ウール, アンゴラ混, シングルブレスト, 総裏, パッチポケット, 着丈65cm, 高級感, 秋冬, ソフト",preset:fashion.jacket,https://www.amazon.co.jp/dp/B01MTLEF7N;https://item.rakuten.co.jp/fashionh/10011059/,,同仕様モデル掲載
ファッション,レザージャケット,B,"牛革, ジップアップ, スタンドカラー, 裏地付き, 肩パッド, 着丈60cm, マット, 防風, 無骨",preset:fashion.jacket,https://www.amazon.co.jp/dp/B07TXC7P5V;https://item.rakuten.co.jp/chez-moi/001/,,多数販売中
ファッション,デニムジャケット,B,"綿100％, インディゴ, ボタン留め, 胸ポケット, 調整タブ, 着丈58cm, 丈夫, カジュアル, 粗野感",preset:fashion.jacket,https://www.amazon.co.jp/dp/B01B0YWK9E;https://item.rakuten.co.jp/cosme/denimjacket01/,,定番仕様
ファッション,シャツ（ボタンダウン）,B,"綿100％, 長袖, ボタンダウン, 胸ポケット, レギュラーフィット, 丈70cm, さらり, 爽やか, 通勤",preset:fashion.top,https://www.amazon.co.jp/dp/B07KXBD7YF;https://item.rakuten.co.jp/shirtco/shirt001/,,基本仕様広く販売
ファッション,セーター（クルーネック）,B,"アクリル混, ウール混, 長袖, リブ編み, 着丈65cm, 暖か, ふっくら, 冬定番, デイリー",preset:fashion.top,https://www.amazon.co.jp/dp/B01LYL8PCD;https://item.rakuten.co.jp/knitwear-shop/sweter001/,,類似仕様多
ファッション,Tシャツ（コットン）,B,"綿100％, 半袖, クルーネック, リブ袖, 着丈68cm, 通気性, 軽快, デイリー, ソフト",preset:fashion.top,https://www.amazon.co.jp/dp/B07RWZTYD9;https://item.rakuten.co.jp/tshirt-shop/tshirt001/,,基本仕様商品多
ファッション,ワイドパンツ,B,"綿混紡, ワイドレッグ, ウエストゴム, ポケット付き, フルレングス, 裾幅45cm, リラックス, 動きやすい",preset:fashion.pants,https://www.amazon.co.jp/dp/B07JFDBJ7N;https://item.rakuten.co.jp/takasu/widepan001/,,類似品販売
ファッション,スラックス（ビジネス）,B,"ポリエステル, ストレート, ジッパーフライ, 裏地付き, ウエスト78cm, 耐久性, 通勤, 都会的, 上品",preset:fashion.pants,https://www.amazon.co.jp/dp/B01MRJ91YH;https://item.rakuten.co.jp/businesspants/bsp001/,,就業用仕様多
ファッション,デニムパンツ（ストレート）,B,"綿100％, ストレート, ジッパーフライ, バックポケット, 股下75cm, 丈夫, アメリカン, 定番",preset:fashion.pants,https://www.amazon.co.jp/dp/B01MUIF0HT;https://item.rakuten.co.jp/denim-ya/denimpants-001/,,主要ECでスタンダード
ファッション,スカート（プリーツ）,B,"ポリエステル, プリーツ, ミディ丈, ウエストゴム, 裏地付き, 丈60cm, エレガント, 通勤, さらり",preset:fashion.bottom,https://www.amazon.co.jp/dp/B07P2M5GJH;https://item.rakuten.co.jp/skirt-shop/skirt001/,,主力ECで仕様確認
美容,RF美顔器,C,"RF高周波, 温感, LEDライト, 密着ヘッド, 充電式, ハンドヘルド, 角質層まで, しっとり, 自宅ケア",preset:beauty.rf,https://www.amazon.co.jp/dp/B07V4S6K5H;https://item.rakuten.co.jp/beautyshop/rfdevice001/,"リフトアップ, シワ改善, たるみ改善, 美白効果, 医療効果, 痩身, 発毛促進",レビュー高評価多数（機能説明は“角質層まで”表現に統一）
美容,EMS美顔器,C,"低周波EMS, やさしい刺激, 充電式, 軽量, コードレス, フェイスラインケア, 時短, 自宅ケア",preset:beauty.rf,https://www.amazon.co.jp/dp/B08L45PZ79;https://item.rakuten.co.jp/emsbeauty/ems001/,"リフトアップ, シワ改善, たるみ改善, 医療効果, 筋肥大促進",感覚表現は“印象”“ような”に寄せる
美容,フェイススチーマー,C,"ナノスチーム, アロマ対応, 水タンク, タイマー設定, 充電式, うるおい, リラックス, 自宅ケア",preset:beauty.steamer,https://www.amazon.co.jp/dp/B07FRS3V3B;https://item.rakuten.co.jp/steamshop/steam001/,"毛穴が消える, 医療効果, アレルギー治療",保湿表現は一般的効用に留める
美容,IPL脱毛器,C,"光照射, 充電式, 冷却機能, 波長調整, コードレス, 自宅ムダ毛ケア, レベル調整, 家庭用",preset:beauty.hair,https://www.amazon.co.jp/dp/B08PFT1VZ1;https://item.rakuten.co.jp/ipldevice001/,"永久脱毛, 医療脱毛, 痛みゼロ, 医療効果",“家庭用”“自己処理補助”の語感を維持
美容,ヘアドライヤー,C,"大風量, イオンケア, 軽量, 折りたたみ, AC電源, 速乾, 静音, 旅行用",preset:beauty.hair,https://www.amazon.co.jp/dp/B07JWQRMZT;https://item.rakuten.co.jp/hairdryer/cordless001/,"髪が生える, 医療効果",“速乾の目安”など数値は製品個別で
美容,ヘアアイロン,C,"セラミックプレート, 温度調整, コードレス, 折りたたみ, 軽量, 滑らか, カール, ストレート",preset:beauty.hair,https://www.amazon.co.jp/dp/B07RPDH7F1;https://item.rakuten.co.jp/hairiron/ht001/,"髪質改善を保証, 永続効果, 医療効果",温度・仕上がりは“目安”表現
家電,モバイルバッテリー（22000mAh）,C,"リチウムポリマー, USB-C入力, USB-A出力, 22000mAh, 4台同時, 内蔵ケーブル, LCD残量表示, LEDライト, 低電流モード, PSE適合",preset:gadget.power,https://www.amazon.co.jp/dp/B09FMCN1SV,"充電効率95%保証, 30分で必ず50%充電",数値は“目安”。航空機内持込は各社規定確認
家電,ワイヤレスイヤホン,B,"Bluetooth5.0, ENCノイズ低減, マイク内蔵, 充電ケース, 防水IPX5, 低遅延, 高音質, 軽量, 通勤用",preset:gadget.audio,https://www.amazon.co.jp/dp/B07Y5Y36WD;https://item.rakuten.co.jp/earphone/wp001/,"完全遮音, プロ品質保証",音質は主観表現を避け“傾向”で記載
家電,スマートウォッチ（フィットネス）,B,"心拍センサー, 歩数計, GPS, 防水, 運動記録, 活動量, OLED, バッテリー約10日, 健康管理",preset:gadget.wearable,https://www.amazon.co.jp/dp/B08L5VG9QZ;https://item.rakuten.co.jp/smartwatch/fit001/,"医療測定, 疾病診断, 体重減少保証",ヘルス機能は“参考用”の語感に統一
家電,スティック掃除機,C,"コードレス, サイクロン集塵, リチウムイオン, パワフル, 軽量, 回転ヘッド, 静音, 省スペース",preset:gadget.vacuum,https://www.amazon.co.jp/dp/B07W5VWY3N;https://item.rakuten.co.jp/cleaning/svacuum001/,"完全静音, ダニ完全除去",吸引目安は個別製品で管理
家電,加湿器（卓上）,C,"超音波方式, 加湿量約100ml/h, 水タンク1L, 卓上仕様, USB給電, LED, コンパクト, 静音, 省スペース",preset:gadget.humidifier,https://www.amazon.co.jp/dp/B082TYD7P2;https://item.rakuten.co.jp/desktophumidifier/d001/,"菌を完全除去, 医療効果",除菌表現は避け“清潔に保ちやすい設計”へ
家電,空気清浄機（HEPA）,C,"HEPAフィルター, 活性炭, センサー, 空気質表示, 風量調整, 静音, 省スペース, 花粉対策",preset:gadget.air,https://www.amazon.co.jp/dp/B07Y6NNF6X;https://item.rakuten.co.jp/clean-air/cleanair001/,"ウイルス完全除去, 医療効果",“捕集率〇％”などは製品固有で記載
